gastvrouw	'xAst-frA+w
co&iuml;nstructie	'ko-wIn-strYk-si
novatie	no-'va-tsi
rondreis	'rOnd-rE+s
ondermens	'On-d@r-mEns
onjuistheid	OJ-'jY+st-hE+t
machine	mA-'Si-n@
raadgeving	'rat-xe-vIN
mergcel	'mErx-sEl
fataliteit	fa-ta-li-'tE+t
nijverheidsschool	'nE+-v@r-hE+t-sxol
herstelling	hEr-'stE-lIN
politiespion	po-'li-tsi-spi-jOn
schietpartij	'sxit-pAr-tE+
boterstand	'bo-t@r-stAnt
wijnstad	'wE+n-stAt
fotosynthese	fo-to-sIn-'te-z@
zelfherhaling	'zElf-hEr-ha-lIN
transpositie	trAns-po-'zi-tsi
koksgast	'kOks-xAst
bergwind	'bErG-wInt
kaakchirurg	'kak-Si-rYrx
meditatieoefening	me-di-'ta-tsi-u-f@-nIN
graverij	xra-v@-'rE+
ionisatie	i-jo-ni-'za-tsi
kinderverlamming	'kIn-d@r-v@r-lA-mIN
mini-manege	'mi-ni-ma-ne-Z@
hooiopslag	'ho-jOp-slAx
barotrauma	'ba-ro-trA+-ma
keldertrap	'kEl-d@r-trAp
prot&eacute;gee	pro-te-'Ze
puddingtaart	'pY-dIN-tart
collegeploeg	kO-'le-G@-plux
aaneenrijging	an-'en-rE+-GIN
vuurplaats	'vyr-plats
internuntiatuur	In-tEr-nYn-Sa-'tyr
handschriftherkenner	'hAnt-sxrIf-tEr-kE-n@r
kookpuntsbepaling	'kok-pYndz-b@-pa-lIN
zoetwaterflora	zut-'wa-t@r-flo-ra
forenzenbelasting	fo-'rEn-z@-b@-lAs-tIN
gezinsverpakking	x@-'zIns-f@r-pA-kIN
stinkbom	'stINg-bOm
volgroeidheid	vOl-'Grujt-hE+t
anticonceptiepil	An-ti-kOn-'sEp-si-pIl
vooringang	'vor-IN-GAN
koolader	'kol-a-d@r
horen	'ho-r@
kleefband	'klev-bAnt
galvanotherapie	xAl-'va-no-te-ra-pi
storting	'stOr-tIN
verwerping	v@r-'wEr-pIN
draagberrie	'draG-bE-ri
mandekking	'mAn-dE-kIN
co&ouml;rdinatiecommissie	ko-wOr-di-'na-tsi-kO-mI-si
rechter-commissaris	'rEx-t@r-kO-mI-'sa-r@s
wiskundeman	'wIs-kYn-d@-mAn
contrapost	'kOn-tra-pOst
tractorrace	'trAk-tO-ra-s@
tijdsreeks	'tE+t-sreks
sliklap	'slIk-lAp
wind	'wInt
bakenlijn	'ba-k@n-lE+n
klodderaar	'klO-d@-rar
formatieperiode	fOr-'ma-tsi-pe-ri-jo-d@
klokurn	'klOk-Yrn
binnenvelder	'bI-n@-vEl-d@r
dru&iuml;dentempel	dry-'wi-d@-tEm-p@l
zielennood	'zi-l@-not
snelheidswedstrijd	'snEl-hE+ts-wEts-trE+t
sluipjacht	'slY+p-jAxt
souldiva	'sA+l-di-va
halvarine	hAl-va-'ri-n@
stofinhoud	sto-fIn-'hA+t
lampfitting	'lAmp-fI-tIN
wandelbrug	'wAn-d@l-brYx
artisjok	Ar-ti-'SOk
snijtarwe	'snE+-tAr-w@
guerrillastrijder	g@-'ril-ja-strE+-d@r
aardappelstroop	'ard-A-p@l-strop
verheler	v@r-'he-l@r
logo-akoepedist	'lo-Go-a-ku-pe-'dIst
pimpelaar	'pIm-p@-lar
bewaarengel	b@-'war-E-N@l
overstromingsdeskundige	o-v@r-stro-mINz-dEs-'kYn-d@-G@
broeksband	'brugz-bAnt
huurder	'hyr-d@r
po&euml;sis	'po-we-z@s
lakensloop	'la-k@s-lop
appelsien	A-p@l-'sin
rozenkoningin	'ro-z@N-ko-nI-NIn
grondpilaar	'xrOnt-pi-lar
kennishandel	'kE-nIs-hAn-d@l
offertecalculator	O-'fEr-t@-kAl-ky-la-tOr
prullenbak	'prY-l@-bAk
heremetijd	hE-'re-m@-tE+t
identiteitsloosheid	'i-d@n-ti-tE+t-slos-hE+t
hoofdzaak	'hoft-sak
musicologie	my-zi-ko-lo-'Gi
hoofdzaal	'hoft-sal
zwerfwagen	'zwErf-wa-G@
deutel	'd2-t@l
importrekening	'Im-pOrt-re-k@-nIN
uitwateringssluis	'Y+t-wa-t@-rIN-slY+s
bleuheid	'bl2-hE+t
sanctionering	sANk-So-'ne-rIN
smakker	'smA-k@r
rits-student	'rIt-'E-sty-'dEnt
zendeling-arts	'zEn-d@-lIN-Arts
schoolvriend	'sxol-vrint
ventielklep	vEn-'til-klEp
folterkamer	'fOl-t@r-ka-m@r
mededogen	'me-d@-do-G@
fielterigheid	'fil-t@-r@x-hE+t
differentiaalthermometer	dI-f@-rEn-'Sal-tEr-mo-me-t@r
heteluchtkachel	he-t@-'lYxt-kA-x@l
blok-stem	'blOk-'stEm
bestuursassistente	b@-'styrs-A-si-stEn-t@
afrekenbaarheid	Af-'re-k@-bar-hE+t
muziekterm	my-'zik-tErm
kosterij	kOs-t@-'rE+
lastenverzwaring	'lAs-t@-v@r-zwa-rIN
jetlag	'dZEt-lEk
ongeoorloofdheid	ON-G@-'or-loft-hE+t
aanwendbaarheid	an-'wEnd-bar-hE+t
duvel	'dy-v@l
spiegelruit	'spi-G@l-rY+t
langzaamverkeersvoorziening	lAN-zam-v@r-kers-for-'zi-nIN
bisschopsstaf	'bI-sxOp-stAf
infinitesimaalrekening	In-fi-ni-t@-si-'mal-re-k@-nIN
bisschopsstad	'bI-sxOp-stAt
meierij	mE+-j@-'rE+
markgraaf	'mArk-xraf
apostelzalf	a-'pOs-t@l-zAlf
naturalist	na-ty-ra-'lIst
eiermijn	'E+-j@r-mE+n
zeescheepvaart	'ze-sxep-fart
lakstraat	'lAk-strat
slijtageslag	slE+-'ta-Z@-slAx
hartklacht	'hArt-klAxt
gebakbodem	x@-'bAg-bo-d@m
prestatiebeurs	prEs-'tat-si-b2rs
overstroming	o-v@r-'stro-mIN
grammatica	xrA-'ma-ti-ka
vredeswens	vre-'dEs-w@ns
transbordeur	trAnz-bOr-'d2r
appie-actie	'A-pi-Ak-si
arbeidservaring	Ar-'bE+t-sEr-va-rIN
seksfuif	'sEks-fY+f
noodleiding	'nod-lE+-dIN
springstof	'sprIN-stOf
hogesnelheidsverbinding	'ho-G@-snEl-hE+ts-f@r-bIn-dIN
kassenvrijstelling	'kA-s@-vrE+s-tE-lIN
maagvulling	'max-fY-lIN
mensuur	mEns-'yr
potkijker	'pOt-kE+-k@r
seinlantaren	'sE+n-lAn-ta-r@
kurassiershelm	ky-rA-'sirs-hElm
glorificatie	xlo-ri-fi-'ka-tsi
sterftetafel	'stErf-t@-ta-f@l
kokschool	'kOk-sxol
geneesmiddelendistributie	x@-nes-mI-d@-lEn-dIs-tri-'byt-si
reddingsoperatie	'rE-dINs-o-p@-ra-tsi
echoapparatuur	E-xo-wA-pa-ra-'tyr
bolwolk	'bOl-wOlk
taartpunt	'tart-pYnt
stinkerskaas	'stIN-k@rs-kas
minimumthermometer	'mi-ni-mYm-tEr-mo-me-t@r
luchtvering	'lYxt-fe-rIN
geestenbezweerster	'xes-t@-b@-zwer-st@r
chemisier	xe-mi-'sir
twee&euml;nnegentighonderd	twe-j@-'ne-G@n-t@x-hOn-d@rt
klauwier	klA+-'wir
werkwoordspelling	'wErk-wort-spE-lIN
etalagepop	e-ta-'la-Z@-pOp
praltriller	'prAl-trI-l@r
papierlawine	pa-'pir-la-wi-n@
planschade	'plAn-sxa-d@
wilddieverij	'wIl-di-v@-rE+
sms	E-zE-'mEs
toestemmingswet	'tus-tE-mINs-wEt
sympathicus	sIm-'pa-ti-kYs
rustdruk	'rYs-drYk
geloofshouding	x@-'lofs-hA+-dIN
homonymie	ho-mo-ni-'mi
uitbouw	'Y+d-bA+w
uitputtingsdepressie	Y+t-pY-tINz-d@p-'rE-si
kampeerafdeling	kAm-'pe-rAv-de-lIN
navo-oefening	'na-vo-'u-f@-nIN
kabaai	ka-'baj
lijfelijkheid	'lE+-f@-l@k-hE+t
regenmoesson	're-G@n-mu-sOn
boekensteun	'bu-k@-st2n
verdediging	v@r-'de-d@-GIN
geboorteakte	x@-'bor-t@-Ak-t@
knik	'knIk
concurrentiekracht	kON-ky-'rEn-si-krAxt
kortverbandvrijwilliger	kOrt-f@r-'bAnt-frE+-wI-l@-G@r
kraamafdeling	'kra-mAv-de-lIN
behandelingsmogelijkheid	b@-'hAn-d@-lINs-mo-G@-l@k-hE+t
dierenbeschermer	'di-r@-b@-sxEr-m@r
haarspijker	'har-spE+-k@r
vluchtberm	'vlYGd-bErm
opvoedingsperiode	'Op-fu-dINs-pe-ri-jo-d@
lievelingsuitdrukking	'li-v@-lINs-Y+-drY-kIN
haspelaar	'hAs-p@-lar
internationalisering	In-t@r-nA-tSo-na-li-'ze-rIN
lynchpartij	'lInS-pAr-tE+
geur	'x2r
familiebijbel	fa-mi-li-'bE+-b@l
afstootboom	'Af-stod-bom
plethamer	'plEt-ha-m@r
radiozaak	'ra-di-jo-zak
optelling	'Op-tE-lIN
gasturbine	'xAs-tYr-bi-n@
skistok	'ski-stOk
pakjesdrager	'pAk-j@z-dra-G@r
paneelradiator	pa-'nel-ra-di-ja-tOr
ruigpoot	'rY+x-pot
schoonmaakploeg	'sxo-mak-plux
sirtaki	sIr-'ta-ki
financieringsmogelijkheid	fi-nAn-'si-rINs-mo-G@-l@k-hE+t
melis	me-'lIs
speelwereld	'spel-we-r@lt
naaktfoto	'nakt-fo-to
schaduwarts	'sxa-dy-wArts
wederga	'we-d@r-Ga
veldloop	'vEld-lop
jodenlijm	'jo-d@-lE+m
verbreidheid	v@r-'brE+t-hE+t
kenleer	'kEn-ler
voorbiecht	'vor-bixt
dipendaal	di-p@n-'dal
beurtvaart	'b2rt-fart
wetenschapsprof	'we-t@-sxAps-prOf
burgervrouw	'bYr-G@r-vrA+w
vooraanduiding	'vor-an-dY+-dIN
shopper	'SO-p@r
indelingsmethode	'In-de-lINs-me-to-d@
mestspreider	'mEst-sprE+-d@r
tuberkelziekte	ty-'bEr-k@l-zik-t@
alpenbloem	'Al-p@-blum
woningindeling	'wo-nI-NIn-d@-lIN
aalpomp	'al-pOmp
titelhouder	'ti-t@l-hA+-d@r
embouchure	Am-bu-'Sy-r@
openingsceremonie	'o-p@-nIN-se-r@-mo-ni
aardkromming	'art-krO-mIN
levenskern	'le-v@s-kErn
basisschoolleerkracht	ba-sI-'sxo-ler-krAxt
epiglottis	e-pi-'GlO-t@s
werkstaking	'wErk-sta-kIN
vijfhoek	'vE+f-huk
jeugdkampioen	'j2xt-kAm-pi-jun
gouvernementsdienst	xu-v@r-n@-'mEnts-dinst
huishoudportemonnee	'hY+s-hA+t-pOr-t@-mO-ne
scheutist	sx2-'tIst
chocoladehaas	So-ko-'la-d@-has
tudorstijl	'ty-dOr-stE+l
compositietechniek	kOm-po-'zi-tsi-tEx-nik
mastitis	mAs-'ti-t@s
mengkraan	'mEN-kran
rouwbrief	'rA+w-brif
cd-i	se-de-'i
zeeblokkade	'ze-blO-ka-d@
afroeporder	'Af-ru-pOr-d@r
belastinghervorming	b@-'lAs-tIN-hEr-vOr-mIN
looptechniek	'lop-tEx-nik
streefdatum	'strev-da-tYm
hewitt	he-'wIt
gymnasiumklas	'xIm-na-zi-jYm-klAs
volkenkunde	'vOl-k@-kYn-d@
violonist	vi-jo-lo-'nIst
maaswijdte	'mas-wE+-t@
breuklijn	'br2k-lE+n
invoegstrook	'In-vux-strok
rijksadvocaat	'rE+ks-At-fo-kat
braintrust	'bren-trYst
nietjesmachine	'nit-j@s-mA-Si-n@
weving	'we-vIN
bewonersgroep	b@-'wo-n@rs-xrup
weltergewicht	'wEl-t@r-G@-wIxt
koortsachtigheid	'korts-Ax-t@x-hE+t
borgketting	'bOrx-kE-tIN
taalhervormer	'tal-hEr-vOr-m@r
zwemploeg	'zwEm-plux
autotentoonstelling	'A+-to-tEn-ton-stE-lIN
uitklaphoes	'Y+t-klAp-hus
kamelenmaag	ka-'me-l@-max
pikbroek	'pIg-bruk
huuropbrengst	'hy-rO-brENst
messenhandel	'mE-s@-hAn-d@l
insuline	In-zy-'li-n@
koperwiek	'ko-p@r-wik
toeschietreflex	'tu-sxit-r@-flEks
biels	'bils
hangaar	hAN-'gar
energieprestatie	e-n@r-Gip-rEs-'tat-si
citroenjenever	si-'truJ-j@-ne-v@r
ambtstermijn	'Amts-tEr-mE+n
uitzetting	'Y+t-sE-tIN
kindermoordenaar	'kIn-d@r-mor-d@-nar
spieringvangst	'spi-rIN-fANst
hoogtijdag	'hox-tE+-dAx
fa&iuml;ence	fa-'jEn-s@
keuringsdienst	'k2-rINz-dinst
cao-afspraak	se-a-'o-'Afs-prak
kogge	'kO-G@
e&eacute;n-auto	'en-A+-to
manteljas	'mAn-t@l-jAs
ps-collega	pe-'Es-kO-'le-xa
sire-reclame	'si-r@-r@k-'la-m@
gewoontemisdadiger	x@-'won-t@-mIz-da-d@-G@r
wijzerplaat	'wE+-z@r-plat
prelaat	pr@-'lat
uitkoop	'Y+t-kop
sublimaatoplossing	sy-bli-'mat-Op-lO-sIN
fratsenmaker	'frAt-s@-ma-k@r
regenput	're-G@m-pYt
spoedvergadering	'sput-f@r-Ga-d@-rIN
vechtlust	'vExt-lYst
televisiemagnaat	te-le-vi-'si-mAG-nat
geldnood	'xEld-not
piskijker	'pIs-kE+-k@r
huishoudzeep	'hY+s-hA+t-sep
planterswereld	'plAn-t@rs-we-r@lt
hoekspar	'huk-spAr
onvergankelijkheid	On-v@r-'GAN-k@-l@k-hE+t
rabbi	'rA-bi
morbiditeit	mOr-bi-di-'tE+t
schedelkap	'sxe-d@l-kAp
trieermachine	tri-'jer-mA-Si-n@
voorhoofdsspiegel	'vor-hoft-spi-G@l
koordag	'kor-dAx
vergenoegdheid	v@r-G@-'nuxt-hE+t
piepappel	'pip-A-p@l
crematieoven	kr@-'ma-tsi-o-v@
smaakzin	'smak-sIn
varkenswet	'vAr-k@s-wEt
krijgsraad	'krE+xs-rat
stripwinkel	'strIp-wIN-k@l
geldautomaat	'xEld-A+-to-mat
koerswijziging	kurs-'wE+-z@-GIN
gestadigheid	x@-'sta-d@x-hE+t
hamstervoorraad	'hAm-st@r-vo-rat
succesroman	'sYk-s@s-ro-mAn
inleidingswetenschap	'In-lE+-dINs-we-t@-sxAp
rusting	'rYs-tIN
lievelingsplek	'li-v@-lINs-plEk
victoria	vIk-'to-ri-ja
wipneus	'wIp-n2s
vertrossing	v@r-'trO-sIN
wegopziener	'wEG-Op-si-n@r
viervorst	'vir-vOrst
hohenzollern-prins	'ho-hEn-zO-lErm-'prIns
letter	'lE-t@r
breakpoint	'brek-pOjnt
opsodemieter	'Op-so-d@-mi-t@r
kraagmantel	'kraG-mAn-t@l
hogeschool	ho-G@-'sxol
kwast	'kwAst
initiator	i-ni-'tSa-tOr
gazonsproeier	xa-'zOn-spru-j@r
episode	e-pi-'zo-d@
cda-leider	se-de-'ja-lE+-d@r
antitrust	An-tIt-'rYst
oppergod	'O-p@r-GOt
handelskamer	'hAn-d@ls-ka-m@r
professor	pro-'fE-sOr
achterhoudendheid	Ax-t@r-'hA+-d@nt-hE+t
mongolenplooi	mON-'Go-l@-ploj
puist	'pY+st
reisorganisator	'rE+-sOr-Ga-ni-sa-tOr
kustafslag	'kYst-Af-slAx
kooltremmer	'kol-trE-m@r
eeuwigheid	'e-w@x-hE+t
pijn	'pE+n
loodhagel	'lot-ha-G@l
kakkerd	'kA-k@rt
eind-evaluatie	'E+nt-e-va-ly-'wat-si
degelijkheid	'de-G@-l@k-hE+t
caf&eacute;speler	ka-'fEs-p@-l@r
landbouwmaatschappij	'lAnd-bA+w-mat-sxA-pE+
radioreportage	'ra-di-jo-r@-pOr-ta-Z@
machinetijd	mA-'Si-n@-tE+t
arabesk	a-ra-'bEsk
handel	'hAn-d@l
telefoonservice	te-l@-'fon-sYr-v@s
neb	'nEp
glycogeenvoorraad	'xli-ko-Gen-vo-rat
olienoot	'o-li-not
wandelklas	'wAn-d@l-klAs
oorlogsperiode	'or-lOxs-pe-ri-jo-d@
salieolie	'sa-li-o-li
bestuurswetenschap	b@-'styrs-we-t@-sxAp
stromingsschema	'stro-mIN-sxe-ma
gewaad	x@-'wat
verzetsbeweging	v@r-'zEdz-b@-we-GIN
dronkenmanszooi	'drON-k@-mAn-soj
aardappelpureeprut	'ar-dA-p@l-py-rep-rYt
hypnotica	hip-'no-ti-ka
beuzeling	'b2-z@-lIN
videoplaat	'vi-de-jo-plat
noodlotssfeer	'nod-lOt-sfer
aquacamping	'a-kwa-kEm-pIN
druktemaakster	'drYk-t@-mak-st@r
evenknie	'e-v@n-kni
verkeersveiligheidsorganisatie	v@r-kers-'fE+-l@x-hE+ts-Or-Ga-ni-'za-tsi
sier	'sir
handspier	'hAnt-spir
edelvalk	'e-d@l-vAlk
dtp-prik	de-te-'pe-prIk
oostfronter	'ost-frOn-t@r
gevechtsuitrusting	x@-'vExts-Y+t-rYs-tIN
afknotting	'Af-knO-tIN
sanctie	'sANk-si
geitenbond	'xE+-t@-bOnt
eendenborst	'en-d@m-bOrst
epilatie	e-pi-'la-tsi
beentumor	'ben-ty-mOr
taalkracht	'tal-krAxt
sluimer	'slY+-m@r
sief	'sif
zinker	'zIN-k@r
voorarbeid	'vor-Ar-bE+t
spelonderbreking	spe-'lOn-d@r-bre-kIN
koelheid	'kul-hE+t
groentenhof	'xrun-t@-hOf
koppelkesmiddag	'kO-p@l-kEs-mI-dAx
cykel	'si-k@l
kolenman	'ko-l@-mAn
schooleditie	'sxol-e-di-tsi
schrikpsychose	'sxrIk-psi-xo-z@
welzijnsnota	'wEl-zE+ns-no-ta
cilindervorm	si-'lIn-d@r-vOrm
weer-werk-job	'wer-'wErk-'jOp
prehistoricus	pre-his-'to-ri-kYs
zwelkast	'zwEl-kAst
chutney	'tSYt-ni
boeienkoning	'bu-j@-ko-nIN
buitenstaander	'bY+-t@-stan-d@r
dekbedhoes	'dEg-bEt-hus
levenscrisis	'le-v@s-kri-s@s
grootmoeder	'xrot-mu-d@r
geluksstaat	x@-'lYk-stat
aansluiting	'an-slY+-tIN
optiek	Op-'tik
veerverbinding	'ver-v@r-bIn-dIN
jongensdroom	'jO-N@z-drom
voorlijkheid	'vor-l@k-hE+t
rasartiest	ra-sAr-'tist
duivelskop	'dY+-v@ls-kOp
problematiek	pro-ble-ma-'tik
oppositiepartij	O-po-'zi-tsi-pAr-tE+
gewelfboog	x@-'wElv-box
baanstroper	'ban-stro-p@r
persmolen	'pErs-mo-l@
hercules	'hEr-ky-lEs
districtsraad	dIs-trIkt-'srat
dagdroom	'dAG-drom
kazer	'ka-z@r
geleidehond	x@-'lE+-d@-hOnt
huifkartocht	'hY+f-kAr-tOxt
weerwil	'wer-wIl
punaisepoetster	py-'nE:-z@-put-st@r
webontwerper	we-'bOnt-wEr-p@r
raamthermometer	'ram-tEr-mo-me-t@r
eindexamenkandidaat	'E+nd-Ek-sa-m@N-kAn-di-dat
erfelijkheid	'Er-f@-l@k-hE+t
dilettant	di-lE-'tAnt
miskenning	mIs-'kE-nIN
traverso	tra-'vEr-so
transportatie	trAns-pOr-'ta-tsi
taalvorm	'tal-vOrm
bamboeconstructie	bAm-bu-kOns-'trYk-si
waskaars	'wAs-kars
boerenstiel	'bu-r@s-til
natuurbeschermster	na-'tyr-b@-sxErm-st@r
schietbeitel	'sxid-bE+-t@l
sneukelaar	'sn2-k@-lar
makker	'mA-k@r
top-drie	'tOp-'dri
respons	rEs-'pOns
pensioenskorting	pEn-'Suns-kOr-tIN
jeugdraad	'j2Gt-rat
bosbessentaart	'bOz-bE-s@n-tart
kastrol	kAs-'trOl
blei	'blE+
achtervoeging	'Ax-t@r-vu-GIN
best	'bEst
hoofdzin	'hoft-sIn
correspondentieregel	kO-r@-spOn-'dEn-si-re-G@l
milieuverontreinigingscontroleur	mIl-j2-v@-rOn-'trE+-n@-GINs-kOn-tro-l2r
respectabiliteit	rEs-pEk-ta-bi-li-'tE+t
krankzinnigverklaring	krANk-'sI-n@x-f@r-kla-rIN
successieoorlog	sYk-'sE-si-or-lOx
friends-videoband	'frints-fi-de-'jo-bAnt
pijlstaart	'pE+l-start
houtkap	'hA+t-kAp
pestproject	'pEst-pro-jEkt
gildenbrief	'xIl-d@-brif
kontkruiper	'kOnt-krY+-p@r
regeringszaak	r@-'Ge-rIN-sak
kliefbeitel	'kliv-bE+-t@l
stadstimmerwerf	stAts-'tI-m@r-wErf
schoonmaakster	'sxon-mak-st@r
lokaaldienst	lo-'kal-dinst
diamantbewerker	di-ja-'mAnd-b@-wEr-k@r
rugvin	'rYx-fIn
relatiemarketing	r@-'la-tsi-mAr-k@-tIN
poeiersuiker	'pu-j@r-sY+-k@r
lijntrekster	'lE+n-trEk-st@r
preekbeurt	'preg-b2rt
vlieghelm	'vlix-hElm
hoorspelstudio	'hors-pEl-sty-di-jo
waterpaslijn	'wa-t@r-pAs-lE+n
schaarkunst	'sxar-kYnst
tankgracht	'tENk-xrAxt
tegemoetkoming	t@-G@-'mut-ko-mIN
kuifarend	'kY+f-a-r@nt
rijstklander	'rE+st-klAn-d@r
hygrometrie	hi-Gro-me-'tri
oefendag	'u-f@n-dAx
varkenskrap	'vAr-k@s-krAp
aartsrivaal	'arts-ri-val
provincieraadzitting	pro-vIn-'si-rat-sI-tIN
koffiekar	kO-'fi-kAr
vormingsleider	'vOr-mINs-lE+-d@r
koeiendruk	'ku-j@d-rYk
zmlk-school	zEt-Em-El-ka-'sxol
bewusteloosheid	b@-wYs-t@-'los-hE+t
drukhoogte	'drYk-hox-t@
carbon	kAr-'bOn
samenlevingsstructuur	'sa-m@n-le-vIN-strYk-tyr
diftongering	dIf-tON-'Ge-rIN
gehoorgang	x@-'hor-GAN
feeststemming	'fest-stE-mIN
hoofdentree	'hov-d@t-re
federalist	fe-d@-ra-'lIst
breve-maat	'bre-v@-'mat
vluchtelingenmassa	'vlYx-t@-lI-N@-mA-sa
sjacheraar	'SA-x@-rar
miljoenenwinst	m@l-'ju-n@-wInst
adapter	a-'dAp-t@r
vluchtelingenfamilie	'vlYx-t@-lI-N@n-fa-mi-li
woonmaatschappij	'wo-mat-sxA-pE+
najade	na-'ja-d@
invalidenwagen	In-va-'li-d@-wa-G@
brievenbusfirma	'bri-v@-bYs-fIr-ma
seizoenmigratie	sE+-'zu-mi-Gra-tsi
meeverdiener	'me-v@r-di-n@r
pelvimetrie	pEl-vi-me-'tri
antiferromagneet	An-'ti-f@-ro-mAG-net
uitvalsroute	'Y+t-fAls-ru-t@
klepslag	'klEp-slAx
energieservice	'e-n@r-Gi-z@r-vi-s@
weitebloem	'wE+-t@-blum
badding	'bA-dIN
koffiebaal	'kO-fi-bal
sportvelg	'spOrt-fElx
fototaxis	fo-to-'tAk-s@s
pose	'po-z@
archivering	Ar-xi-'ve-rIN
kostschoolleerling	'kOst-sxo-ler-lIN
essenboom	'E-s@-bom
stratosfeerballon	stra-tO-'sfer-bA-lOn
moederstad	'mu-d@r-stAt
managementlaag	'mE-n@dZ-m@nt-lax
lepelboor	'le-p@l-bor
lepelboom	'le-p@l-bom
negermop	'ne-G@r-mOp
tegenstroom	'te-G@-strom
volgezogenheid	'vOl-G@-zo-G@-hE+t
gruisbak	'xrY+z-bAk
zondagmiddagwandeling	'zOn-dAx-mI-dAx-wAn-d@-lIN
cytologie	si-to-lo-'Gi
scheurmand	'sx2r-mAnt
computerspecialist	kOm-'pju-t@r-spe-Sa-lIst
pendelbus	'pEn-d@l-bYs
huursom	'hyr-sOm
kredietkaart	kr@-'dit-kart
jasbeschermer	'jAz-b@-sxEr-m@r
mannenkracht	'mA-n@-krAxt
chromo	'xro-mo
valutaoptie	va-'ly-ta-Op-si
waterbezoedeling	'wa-t@r-b@-zu-d@-lIN
spoorbaas	'spor-bas
horecabond	'ho-re-ka-bOnt
schroefas	'sxruf-As
chroma	'xro-ma
havenpolitiek	'ha-v@m-po-li-tik
meerkeuze	'mer-k2-z@
lagereschoolleeftijd	'la-G@-rE-sxo-lef-tE+t
punthoed	'pYnt-hut
zeilwedstrijd	'zE+l-wEt-strE+t
diepvriesmaaltijd	'dip-fris-mal-tE+t
vacu&uuml;mmeter	'va-ky-wY-me-t@r
gravinnentooi	xra-'vI-n@-toj
beuring	'b2-rIN
bestraffing	b@-'strA-fIN
kwaadaardigheid	kwad-'ar-d@x-hE+t
vliegtuigindustrie	'vlix-tY+-xIn-dYs-tri
roodforel	'rot-fo-rEl
muziekpartituur	my-'zik-pAr-ti-tyr
niet-nakoming	nit-'na-ko-mIN
axiomatica	Ak-si-jo-'ma-ti-ka
humiliatie	hy-mi-li-'ja-tsi
pokkencultuur	'pO-k@N-kYl-tyr
counselorfunctie	'kA+n-s@-lOr-fYNk-si
slungel	'slY-N@l
afbakening	'Av-ba-k@-nIN
filmmaker	'fIl-ma-k@r
beleidsorganisatie	b@-'lE+ts-Or-Ga-ni-za-tsi
hoofdtoon	'hof-ton
lift	'lIft
hoofdtooi	'hof-toj
filmcyclus	'fIlm-sik-lYs
muskaat	mYs-'kat
nekslag	'nEk-slAx
chili	'Si-li
stijloefening	'stE+l-u-f@-nIN
bouwkoorts	'bA+w-korts
perkoenpaal	pEr-'kum-pal
irt-commissie	i-Er-te-kO-'mI-si
herhaling	hEr-'ha-lIN
sp-fractie	Es-'pe-frAk-si
geomorfologie	xe-jo-mOr-fo-lo-'Gi
ondergeschiktheid	On-d@r-G@-'sxIkt-hE+t
angstneurose	'ANst-n2-ro-z@
atonie	a-to-'ni
schoolboektekst	'sxol-buk-tEkst
boetelinge	'bu-t@-lI-N@
hormonenbehandeling	hOr-'mo-n@-b@-hAn-d@-lIN
vastgoedsector	'vAst-xut-sEk-tOr
acajouboom	a-ka-'Zu-bom
botaniseertrommel	bo-ta-ni-'zer-trO-m@l
galop	xa-'lOp
tienurendag	tin-'y-r@-dAx
mucoviscidose	my-ko-vI-si-'do-z@
wigdrijver	'wIG-drE+-v@r
theaterzaal	te-'ja-t@r-zal
armband	'Arm-bAnt
afkickt	'Af-kIkt
minderhedenwijk	'mIn-d@r-he-d@n-wE+k
steeksleutel	'stek-sl2-t@l
examensituatie	Ek-'sa-m@n-si-ty-wa-tsi
verleidingshouding	v@r-'lE+-dINs-hA+-dIN
busstaking	'bYs-ta-kIN
volgapparatuur	'vOlG-A-pa-ra-tyr
scheppingsdrang	'sxE-pINz-drAN
beginstand	b@-'GIn-stAnt
arsis	'Ar-z@s
clinton-administratie	klIn-'tOn-Ad-mi-nIs-'trat-si
jodenkost	'jo-d@-kOst
beleidslijn	b@-'lE+ts-lE+n
bezemstok	'be-z@m-stOk
standaardopmerking	stAn-'dar-dOp-mEr-kIN
commissaris	kO-mI-'sa-r@s
aardbeienjam	'ard-bE+-j@-ZEm
chef-dirigent	'SEf-di-ri-'GEnt
madonna	ma-'dO-na
vrouwendag	'vrA+-w@-dAG
verzanding	v@r-'zAn-dIN
baddoek	'bA-duk
rozenmond	'ro-z@-mOnt
trustee	'trYs-ti
eencilinder	en-si-'lIn-d@r
stoombrandspuit	'stom-brAnt-spY+t
zaterdageditie	za-t@r-da-G@-'dit-si
vergeetal	v@r-'Get-Al
filmopneming	'fIlm-Op-ne-mIN
overproductie	'o-v@r-pro-dYk-si
zandaardappel	'zAnd-ard-A-p@l
koffiedrinker	'kO-fi-drIN-k@r
dissociatie	dI-sok-'jat-si
voortplantingsmogelijkheid	'vort-plAn-tINs-mo-G@-l@k-hE+t
hasjhond	'hAS-hOnt
horlogesleutel	hOr-'lo-Z@-sl2-t@l
frustratie	frYs-'tra-tsi
stadsomroeper	'stAts-Om-ru-p@r
gelagkamer	x@-'lAx-ka-m@r
kijkfile	'kE+k-fi-l@
groepsopdracht	'xrup-sOb-drAxt
vakdidacticus	'vAg-di-dAk-ti-kYs
